word	why
CARRS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CEDARS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CENTER	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHADS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHAIRMANS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHAMPION	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHAMPIONS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHAMPIONSHIP	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHAPTER	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHARGE	one of the 5,000 commonest English words, and en.wiktionary does not file it as Swahili
CHARLIES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHARLOTTES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHECKIN	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHEFS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHILDRENS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHILDS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHILLIN	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHIN	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHINA	one of the 5,000 commonest English words, and en.wiktionary does not file it as Swahili
CHINAS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHOPINS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHRISTIES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHRISTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHUB	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CHURCH	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CITIZENS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CITY	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CITYS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CLARES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CLASSIC	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CLINIC	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CLUB	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CMON	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
COASTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
COLLECTIVE	one of the 5,000 commonest English words, and en.wiktionary does not file it as Swahili
COLLEGE	one of the 5,000 commonest English words, and en.wiktionary does not file it as Swahili
COM	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
COMIN	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
COMMISSION	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
COMMISSIONS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
COMPANYS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
COMPOSERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CONCERT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CONSULTANTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
COOKS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
COOPERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
COPYRIGHTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
COULDNT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
COUNTRYS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CREEK	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CRITICS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CULTURES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CUPIDS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DAB	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DADDYS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DAK	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DALLIER	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DALTONS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DANG	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DANGER	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DANTES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DARGENT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DART	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DAUGHTERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DAVIDS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DAYS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DAZUR	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DEANS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DEFENDERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DELL	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DEMISSION	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DEN	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DEPARTMENTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DESERTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DEVILS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DHONNEUR	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DIDNT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DIETRICHS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DIMENSIONS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DIRECTORS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DIS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DISTINCTION	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DOBSONS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DOCTORS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DOESNT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DOGS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DOIN	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DOMINOS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DON	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DONE	one of the 5,000 commonest English words, and en.wiktionary does not file it as Swahili
DONT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DOR	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DOWN	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DRAGONS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DRIVERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DUB	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DUN	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
DUNG	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
EAGLES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
EARTHS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
EDITION	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
EDWARDS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
EINSTEINS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ELEMENT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ELEPHANTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ELSES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
EMPERORS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
END	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ENDERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ENERGY	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ENG	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ENGLISH	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
EUROPES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
EVERYBODYS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
EVERYONES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
EYE	one of the 5,000 commonest English words, and en.wiktionary does not file it as Swahili
FAIL	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FAIN	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FAMILYS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FAN	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FARMERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FATES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FATHERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FEELIN	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FID	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FIDDLERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FILMS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FIR	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FISH	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FISHERMANS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FLATFOOT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FLETCHERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FOR	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FOREIGNERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FOREVERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FOSTERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FOUNDATION	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FOUNDATIONS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FRANKS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FRIENDS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FUCKIN	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FUM	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FUND	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
FUR	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GALLERY	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GAMBIA	by hand: English
GAMERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GAMES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GANG	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GANGSTAS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GANGSTERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GAY	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GEES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GEEZ	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GEM	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GENERALS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GEOGRAPHIC	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GERMANYS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GIANTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GIBBONS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GIRL	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GIRLS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GOD	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GODS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GOIN	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GOLD	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GOLDSMITHS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GONE	one of the 5,000 commonest English words, and en.wiktionary does not file it as Swahili
GONG	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GOOK	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GOT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GOVERNMENTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GOVERNORS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GOY	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GRANDMAS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GRANTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GRAYS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GREENS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GREYS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GRIOTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GUINEAS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GUM	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GURNEYS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GURUS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GUT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
GUYS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HADITH	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HAFIZ	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HAKIM	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HALLOWS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HALLS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HANDMAIDS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HARBOR	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HARPERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HARTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HATTERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HAVENT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HEARTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HEAVENS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HECTORS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HELLS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HERES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HERO	one of the 5,000 commonest English words, and en.wiktionary does not file it as Swahili
HEROS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HIGH	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HILL	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HISTORIANS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HISTORY	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HISTORYS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HITCHHIKERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HOME	one of the 5,000 commonest English words, and en.wiktionary does not file it as Swahili
HOMELAND	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HOP	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HOPPERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HOPS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HOWES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HOWS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HUNTERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HUNTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HUSBANDS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
HUT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
IDIOTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ILL	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
IMPERFECT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
INDIAS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
INNOVATORS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
INSIDERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
INSTITUTE	by hand: English
INSTITUTIONS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
INTERPRETERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ISNT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ITS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
JACKS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
JACKSONS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
JANES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
JASONS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
JAVAS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
JAY	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
JESUS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
JOBS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
JOE	one of the 5,000 commonest English words, and en.wiktionary does not file it as Swahili
JOES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
JOHNS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
JONATHANS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
JONES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
